time_of_day,district,total_request,dispatched_request,total_GMV,avg_trip_factor,driver_cancel_before_accept,driver_cancel_after_accept,driver_ask_rider_cancel,cancel_rate
Evening Off Peak,Thanh Oai,19,6,156144,,0,1,0,0.05263157895
Evening Off Peak,Quốc Oai,3,0,,,0,0,0,0
Evening Off Peak,Thường Tín,9,4,13190,,0,0,0,0
Evening Off Peak,Thanh Trì,634,519,10617758,1.316216216,2,67,1,0.1104100946
Evening Off Peak,Hoàn Kiếm,1299,1170,27900713,1.424919094,20,166,1,0.1439568899
Evening Off Peak,Hoàng Mai,2255,2028,43148712,1.310041841,20,306,1,0.1450110865
Evening Off Peak,Phúc Thọ,2,0,,,0,0,0,0
Evening Off Peak,Sơn Tây,4,0,,,0,0,0,0
Evening Off Peak,Mê Linh,4,2,13116,,0,0,0,0
Evening Off Peak,Hà Đông,1314,1168,23683314,1.299259259,14,174,2,0.1445966514
Evening Off Peak,Long Biên,620,425,10336668,1.177777778,4,66,0,0.1129032258
Evening Off Peak,Tây Hồ,803,679,15725559,1.315384615,3,87,1,0.1133250311
Evening Off Peak,Gia Lâm,222,89,2537826,1.183333333,0,13,0,0.05855855856
Evening Off Peak,Cầu Giấy,4336,4007,83046838,1.409788732,73,561,8,0.1480627306
Evening Off Peak,Từ Liêm,4464,3921,84226915,1.385968028,32,489,15,0.1200716846
Evening Off Peak,Ba Đình,1717,1606,33012163,1.398106713,20,251,4,0.1601630751
Evening Off Peak,Thanh Xuân,2738,2531,51998628,1.402470741,35,348,4,0.1413440467
Evening Off Peak,Chương Mỹ,27,2,30917,,0,0,0,0
Evening Off Peak,Đống Đa,3921,3584,73916433,1.402999362,45,550,10,0.1542973731
Evening Off Peak,Hoài Đức,329,182,3742830,1.3,3,14,0,0.05167173252
Evening Off Peak,Thường Tín,11,1,,,0,0,0,0
Evening Off Peak,Cầu Giấy,2822,2661,53323031,1.251142857,26,334,3,0.1286321758
Evening Off Peak,Thạch Thất,5,0,,,0,0,0,0
Evening Off Peak,Phúc Thọ,2,0,,,0,0,0,0
Evening Off Peak,Gia Lâm,162,73,1640595,1.4,0,10,0,0.06172839506
Evening Off Peak,Mỹ Đức,15,1,,,0,0,0,0
Evening Off Peak,Mê Linh,17,5,13116,,0,0,0,0
Evening Off Peak,Thanh Oai,29,9,234793,,0,1,0,0.03448275862
Evening Off Peak,Thanh Trì,449,393,9812846,,2,35,1,0.0846325167
Evening Off Peak,Ứng Hoà,8,0,,,0,0,0,0
Evening Off Peak,Thanh Xuân,1841,1711,33973014,1.196551724,3,176,2,0.09831613254
Evening Off Peak,Đông Anh,76,18,596333,,0,1,0,0.01315789474
Evening Off Peak,Quốc Oai,1,0,,,0,0,0,0
Evening Off Peak,Hai Bà Trưng,1537,1456,29306999,1.278733032,6,174,7,0.1216655823
Evening Off Peak,Hoài Đức,261,136,2772739,,2,14,0,0.06130268199
Evening Off Peak,Từ Liêm,3154,2878,61325848,1.267272727,12,350,5,0.1163601776
Evening Off Peak,Sóc Sơn,26,11,137772,,0,0,0,0
Evening Off Peak,Ba Đình,1280,1184,24551254,1.258436214,3,144,6,0.11953125
Evening Off Peak,Tây Hồ,580,505,11047151,1.177777778,0,45,3,0.08275862069
Evening Off Peak,Chương Mỹ,19,2,26232,,0,0,0,0
Evening Off Peak,Hà Đông,876,792,17057231,,3,87,2,0.1050228311
Evening Off Peak,Hoàng Mai,1566,1449,29829346,1.242553191,5,197,1,0.1296296296
Evening Off Peak,Hoàn Kiếm,816,780,15339751,1.242138365,4,98,2,0.1274509804
Evening Off Peak,Đan Phượng,27,9,239819,,0,0,0,0
Evening Off Peak,Long Biên,415,293,6581073,1.1,2,42,0,0.1060240964
Evening Off Peak,Đống Đa,2589,2421,49786822,1.258551308,22,304,5,0.1278485902
Evening Off Peak,Thường Tín,9,0,,,0,0,0,0
Evening Off Peak,Hà Đông,992,847,17012824,1.354545455,7,143,0,0.1512096774
Evening Off Peak,Mỹ Đức,1,0,,,0,0,0,0
Evening Off Peak,Ba Vi,1,0,,,0,0,0,0
Evening Off Peak,Hai Bà Trưng,1619,1492,28517634,1.365616046,7,202,3,0.1309450278
Evening Off Peak,Phú Xuyên,1,0,,,0,0,0,0
Evening Off Peak,Ba Đình,1286,1147,22033031,1.350757576,19,157,1,0.1376360809
Evening Off Peak,Mê Linh,21,0,,,0,0,0,0
Evening Off Peak,Cầu Giấy,3017,2770,52007037,1.396311475,20,409,6,0.1441829632
Evening Off Peak,Hoài Đức,277,112,2021238,,0,19,0,0.06859205776
Evening Off Peak,Phúc Thọ,2,0,,,0,0,0,0
Evening Off Peak,Long Biên,400,274,6380379,1.163636364,2,40,0,0.105
Evening Off Peak,Sơn Tây,1,0,,,0,0,0,0
Evening Off Peak,Đống Đa,2869,2588,50654662,1.42154047,35,364,3,0.1401185082
Evening Off Peak,Hoàn Kiếm,971,877,18087514,1.363157895,13,150,4,0.1719876416
Evening Off Peak,Thanh Oai,29,9,104808,,0,1,0,0.03448275862
Evening Off Peak,Từ Liêm,3697,3041,56700085,1.368401487,44,423,1,0.1265891263
Evening Off Peak,Thanh Xuân,1890,1749,32598174,1.398076923,8,223,5,0.1248677249
Evening Off Peak,Gia Lâm,126,49,1047960,,2,7,0,0.07142857143
Evening Off Peak,Quốc Oai,2,0,,,0,0,0,0
Evening Off Peak,Tây Hồ,671,473,10145740,1.293442623,4,55,2,0.09090909091
Evening Off Peak,Hoàng Mai,1547,1341,24697568,1.340740741,11,208,1,0.1422107304
Evening Off Peak,Thạch Thất,11,0,,,0,0,0,0
Evening Off Peak,Thanh Trì,492,395,7820470,1.3375,2,57,0,0.1199186992
Evening Off Peak,Đông Anh,67,28,196203,,1,4,0,0.07462686567
Evening Off Peak,Chương Mỹ,12,1,13116,,0,0,0,0
Evening Off Peak,Sóc Sơn,40,19,403382,,0,0,0,0
Evening Off Peak,Đan Phượng,33,12,226628,,0,0,0,0
Evening Off Peak,Thanh Trì,326,272,6325726,1.4,3,40,0,0.1319018405
Evening Off Peak,Từ Liêm,2567,2312,53683375,1.443729904,15,412,4,0.1679002727
Evening Off Peak,Quốc Oai,1,0,,,0,0,0,0
Evening Off Peak,Hoài Đức,170,66,1525860,,1,5,0,0.03529411765
Evening Off Peak,Cầu Giấy,2170,2034,51049396,1.451262136,20,279,2,0.1387096774
Evening Off Peak,Ba Đình,915,849,22154212,1.411721612,9,140,3,0.1661202186
Evening Off Peak,Long Biên,276,178,4059649,1.17,1,32,0,0.1195652174
Evening Off Peak,Tây Hồ,422,356,9796850,1.30625,2,47,0,0.1161137441
Evening Off Peak,Hoàn Kiếm,766,724,19198442,1.475971731,11,177,7,0.2545691906
Evening Off Peak,Hà Đông,717,568,14543807,1.345205479,3,67,1,0.0990237099
Evening Off Peak,Thanh Oai,12,2,34124,,0,0,0,0
Evening Off Peak,Mê Linh,1,0,,,0,0,0,0
Evening Off Peak,Thanh Xuân,1295,1199,28753884,1.428618421,4,197,0,0.1552123552
Evening Off Peak,Đống Đa,1979,1830,49040505,1.46509299,8,349,2,0.1814047499
Evening Off Peak,Thạch Thất,1,0,,,0,0,0,0
Evening Off Peak,Chương Mỹ,5,0,,,0,0,0,0
Evening Off Peak,Sóc Sơn,51,17,232078,,0,1,0,0.01960784314
Evening Off Peak,Đông Anh,28,12,261418,,0,1,0,0.03571428571
Evening Off Peak,Thường Tín,7,1,,,1,0,0,0.1428571429
Evening Off Peak,Phú Xuyên,3,0,,,0,0,0,0
Evening Off Peak,Đan Phượng,20,2,,,0,0,0,0
Evening Off Peak,Gia Lâm,117,39,858346,,0,5,0,0.04273504274
Evening Off Peak,Hoàng Mai,944,870,18934302,1.229113924,3,145,1,0.1578389831
Evening Off Peak,Hai Bà Trưng,885,838,22854789,1.359695817,2,98,0,0.1129943503
Evening Peak,Hà Đông,1641,1417,29639614,1.331219512,19,196,0,0.1310176722
Evening Peak,Đống Đa,4858,4288,88499159,1.391473259,89,626,3,0.1477974475
Evening Peak,Phú Xuyên,1,0,,,0,0,0,0
Evening Peak,Hoài Đức,415,215,5638472,,2,19,0,0.05060240964
Evening Peak,Thường Tín,10,2,87229,,0,1,0,0.1
Evening Peak,Từ Liêm,5675,4895,114339513,1.335686275,39,498,8,0.09603524229
Evening Peak,Quốc Oai,3,0,,,0,0,0,0
Evening Peak,Hoàn Kiếm,1522,1392,33224669,1.437792642,13,182,0,0.1281208936
Evening Peak,Thanh Oai,52,17,704794,,0,2,0,0.03846153846
Evening Peak,Chương Mỹ,44,8,163016,,0,0,0,0
Evening Peak,Đông Anh,91,39,1037962,,0,4,0,0.04395604396
Evening Peak,Ứng Hoà,6,1,,,0,0,0,0
Evening Peak,Thạch Thất,11,1,63511,,0,0,0,0
Evening Peak,Thanh Xuân,3160,2740,55136372,1.363863636,59,356,1,0.1316455696
Evening Peak,Gia Lâm,277,117,3870961,1.166666667,0,13,0,0.04693140794
Evening Peak,Cầu Giấy,5857,5342,111799855,1.419609005,58,654,12,0.123612771
Evening Peak,Phúc Thọ,9,0,,,0,0,0,0
Evening Peak,Mỹ Đức,2,1,,,0,0,0,0
Evening Peak,Thanh Trì,892,697,14516760,1.285416667,7,63,0,0.07847533632
Evening Peak,Đan Phượng,37,15,484899,,0,2,0,0.05405405405
Evening Peak,Hoàng Mai,2718,2332,53411785,1.316758242,7,298,7,0.114790287
Evening Peak,Sóc Sơn,45,12,261322,,0,0,0,0
Evening Peak,Mê Linh,2,0,,,0,0,0,0
Evening Peak,Ba Đình,2291,2029,41484122,1.411450382,17,216,4,0.1034482759
Evening Peak,Hai Bà Trưng,2764,2537,63232905,1.435312831,25,308,0,0.1204775687
Evening Peak,Tây Hồ,961,748,18621820,1.339166667,4,75,1,0.08324661811
Evening Peak,Long Biên,809,507,13124859,1.186666667,3,41,0,0.0543881335
Evening Peak,Gia Lâm,364,150,3761008,1.25625,0,15,0,0.04120879121
Evening Peak,Mê Linh,1,0,,,0,0,0,0
Evening Peak,Ba Đình,3312,2710,51344019,1.535657686,107,430,5,0.163647343
Evening Peak,Thạch Thất,7,1,127371,,0,0,0,0
Evening Peak,Quốc Oai,7,1,18737,,0,0,0,0
Evening Peak,Đông Anh,152,44,1338784,,1,4,0,0.03289473684
Evening Peak,Từ Liêm,7034,5824,127159774,1.382042724,79,754,6,0.1192777936
Evening Peak,Hoài Đức,451,245,5844050,1.485714286,2,29,0,0.06873614191
Evening Peak,Hà Đông,2186,1699,35595322,1.382016349,24,221,4,0.1139066789
Evening Peak,Tây Hồ,1479,1070,23511287,1.396113074,5,128,0,0.08992562542
Evening Peak,Long Biên,812,503,12995822,1.202173913,3,73,0,0.09359605911
Evening Peak,Sóc Sơn,42,11,437451,,0,1,0,0.02380952381
Evening Peak,Đống Đa,7077,5846,101590736,1.569245723,332,1095,5,0.2023456267
Evening Peak,Thanh Trì,949,729,15873591,1.396610169,9,98,0,0.1127502634
Evening Peak,Ba Vi,2,0,,,0,0,0,0
Evening Peak,Phúc Thọ,2,0,,,0,0,0,0
Evening Peak,Thanh Oai,63,16,319631,,0,2,0,0.03174603175
Evening Peak,Hoàn Kiếm,2594,2199,47531440,1.696796117,72,574,1,0.2494217425
Evening Peak,Đan Phượng,61,13,362656,,0,3,0,0.04918032787
Evening Peak,Hai Bà Trưng,3863,3369,76186004,1.510310559,72,690,5,0.1985503495
Evening Peak,Cầu Giấy,9094,7772,140780609,1.512733395,290,1521,28,0.2022212448
Evening Peak,Thường Tín,4,0,,,0,0,0,0
Evening Peak,Thanh Xuân,5125,4281,71569334,1.440266828,80,745,9,0.1627317073
Evening Peak,Chương Mỹ,41,6,168985,,0,0,0,0
Evening Peak,Sơn Tây,1,1,,,0,0,0,0
Evening Peak,Hoàng Mai,3439,2826,60108785,1.371948998,29,403,7,0.1276533876
Evening Peak,Hoàng Mai,2980,2509,55508014,1.331506849,39,391,3,0.1453020134
Evening Peak,Hoàn Kiếm,2154,1857,43440604,1.610858325,62,422,11,0.2298050139
Evening Peak,Phú Xuyên,2,0,,,0,0,0,0
Evening Peak,Thạch Thất,9,0,,,0,0,0,0
Evening Peak,Tây Hồ,1200,883,19684594,1.366898955,9,127,1,0.1141666667
Evening Peak,Ba Đình,2905,2534,51170630,1.498960831,91,454,7,0.1900172117
Evening Peak,Ứng Hoà,1,0,,,0,0,0,0
Evening Peak,Sơn Tây,4,0,,,0,0,0,0
Evening Peak,Thường Tín,14,2,,,0,0,0,0
Evening Peak,Đống Đa,6077,5232,103076971,1.502448071,144,1033,13,0.1958203061
Evening Peak,Hà Đông,2114,1720,35258870,1.488010899,21,252,0,0.1291390728
Evening Peak,Gia Lâm,258,130,3039882,1.2,0,13,0,0.0503875969
Evening Peak,Sóc Sơn,26,7,139594,,0,0,0,0
Evening Peak,Đan Phượng,57,11,185065,,0,1,0,0.01754385965
Evening Peak,Đông Anh,121,33,1057037,,1,2,0,0.02479338843
Evening Peak,Hai Bà Trưng,3351,3023,70858412,1.523310345,104,545,4,0.1948672038
Evening Peak,Cầu Giấy,7255,6450,130605508,1.490808143,251,1162,8,0.1958649207
Evening Peak,Thanh Xuân,4648,4019,72579228,1.445957447,128,742,5,0.188253012
Evening Peak,Chương Mỹ,15,0,,,0,0,0,0
Evening Peak,Thanh Trì,762,604,15123160,1.425203252,7,97,0,0.1364829396
Evening Peak,Hoài Đức,324,193,4462088,1.2,1,29,1,0.09567901235
Evening Peak,Long Biên,914,556,15140038,1.228813559,1,69,0,0.07658643326
Evening Peak,Từ Liêm,6697,5650,128188390,1.39600939,79,800,4,0.1318500821
Evening Peak,Thanh Oai,73,26,656156,,0,2,0,0.02739726027
Evening Peak,Quốc Oai,5,1,,,0,0,0,0
Evening Peak,Mê Linh,6,2,,,0,0,0,0
Morning Peak,Đông Anh,55,26,738683,,0,2,0,0.03636363636
Morning Peak,Hai Bà Trưng,987,897,22301213,1.41971831,0,73,0,0.07396149949
Morning Peak,Thanh Trì,655,511,12385656,1.465833333,7,82,1,0.1374045802
Morning Peak,Thạch Thất,9,0,,,0,0,0,0
Morning Peak,Tây Hồ,690,413,10690517,1.396850394,2,29,1,0.04637681159
Morning Peak,Thường Tín,9,5,205572,,0,0,0,0
Morning Peak,Mê Linh,5,2,,,0,0,0,0
Morning Peak,Hoàn Kiếm,315,290,6818632,1.325,0,18,0,0.05714285714
Morning Peak,Hà Đông,1107,902,23704854,1.472,10,110,1,0.1093044264
Morning Peak,Hoài Đức,369,132,3077474,1.3,0,15,0,0.0406504065
Morning Peak,Gia Lâm,226,60,1988521,1.285714286,0,8,0,0.03539823009
Morning Peak,Phúc Thọ,2,0,,,0,0,0,0
Morning Peak,Cầu Giấy,2232,2038,46199837,1.504525862,20,291,1,0.1397849462
Morning Peak,Thanh Oai,48,23,1059895,,0,0,0,0
Morning Peak,Sóc Sơn,17,2,,,0,0,0,0
Morning Peak,Quốc Oai,2,0,,,0,0,0,0
Morning Peak,Hoàng Mai,2299,1866,48039279,1.434477612,14,281,1,0.1287516311
Morning Peak,Chương Mỹ,13,1,77761,,0,0,0,0
Morning Peak,Đống Đa,1479,1372,33442795,1.441643059,12,134,2,0.1000676133
Morning Peak,Đan Phượng,14,5,142579,,0,0,0,0
Morning Peak,Ba Đình,722,669,15536904,1.426388889,2,80,1,0.1149584488
Morning Peak,Thanh Xuân,1757,1528,34472746,1.572913616,17,177,1,0.1109846329
Morning Peak,Long Biên,569,239,7013843,1.256,1,10,0,0.01933216169
Morning Peak,Từ Liêm,4220,3343,79481115,1.475813544,25,374,2,0.09502369668
Morning Peak,Gia Lâm,385,96,3649058,1.271428571,5,4,0,0.02337662338
Morning Peak,Thanh Xuân,3601,2868,59431822,1.616409537,35,452,3,0.136073313
Morning Peak,Chương Mỹ,14,4,76976,,0,2,0,0.1428571429
Morning Peak,Sóc Sơn,27,5,225743,,0,1,0,0.03703703704
Morning Peak,Hoàn Kiếm,585,564,13380917,1.248387097,0,43,2,0.07692307692
Morning Peak,Sơn Tây,5,2,,,0,2,0,0.4
Morning Peak,Long Biên,1161,515,13649254,1.304516129,0,38,0,0.03273040482
Morning Peak,Thạch Thất,8,0,,,0,0,0,0
Morning Peak,Đông Anh,49,36,1224193,,0,2,0,0.04081632653
Morning Peak,Từ Liêm,7598,5581,131711355,1.478615322,43,658,6,0.09305080284
Morning Peak,Ba Đình,1565,1393,30713005,1.444660194,11,175,3,0.1207667732
Morning Peak,Thanh Oai,46,22,750647,,0,2,0,0.04347826087
Morning Peak,Hoàng Mai,3842,2862,67677137,1.50596693,10,425,2,0.1137428423
Morning Peak,Mê Linh,8,2,,,0,1,0,0.125
Morning Peak,Tây Hồ,1422,712,19122709,1.448830409,2,64,0,0.04641350211
Morning Peak,Thường Tín,8,0,,,0,0,0,0
Morning Peak,Đống Đa,3577,3179,70698860,1.492119276,37,445,7,0.1367067375
Morning Peak,Hà Đông,2066,1546,35762116,1.541282895,12,216,0,0.1103581801
Morning Peak,Quốc Oai,6,1,,,0,0,0,0
Morning Peak,Cầu Giấy,4765,4276,94800035,1.47461786,51,638,6,0.1458551941
Morning Peak,Hai Bà Trưng,1886,1704,40202084,1.358255814,5,229,0,0.1240721103
Morning Peak,Đan Phượng,39,28,1064121,,0,3,0,0.07692307692
Morning Peak,Thanh Trì,1282,894,17761142,1.611538462,3,135,0,0.1076443058
Morning Peak,Phúc Thọ,5,0,,,0,0,0,0
Morning Peak,Ba Vi,1,0,,,0,0,0,0
Morning Peak,Hoài Đức,456,220,5245607,1.3,0,21,1,0.04824561404
Morning Peak,Ba Đình,1497,1378,32118339,1.290202703,5,107,2,0.07615230461
Morning Peak,Chương Mỹ,26,1,92559,,0,0,0,0
Morning Peak,Hà Đông,1512,1258,31046263,1.379454927,17,167,0,0.1216931217
Morning Peak,Mê Linh,11,4,,,0,1,0,0.09090909091
Morning Peak,Từ Liêm,6064,4866,125336804,1.33172973,40,422,1,0.07635224274
Morning Peak,Long Biên,858,469,12982214,1.200952381,1,34,1,0.04195804196
Morning Peak,Thạch Thất,29,1,13116,,0,0,0,0
Morning Peak,Hoàng Mai,2924,2417,60780878,1.352627046,18,358,3,0.1296169631
Morning Peak,Thanh Oai,37,20,555386,,0,2,0,0.05405405405
Morning Peak,Tây Hồ,1004,663,17836732,1.283044983,3,47,0,0.04980079681
Morning Peak,Cầu Giấy,4379,4061,93300398,1.349193968,25,415,1,0.1007079242
Morning Peak,Sơn Tây,4,0,,,0,0,0,0
Morning Peak,Hai Bà Trưng,1980,1823,43131188,1.306858054,2,174,2,0.0898989899
Morning Peak,Thanh Trì,937,745,16711557,1.444404332,1,89,1,0.09711846318
Morning Peak,Thường Tín,6,2,36538,,0,0,0,0
Morning Peak,Đông Anh,58,32,886650,,0,4,0,0.06896551724
Morning Peak,Gia Lâm,287,125,3270981,1.18,5,19,0,0.08362369338
Morning Peak,Hoài Đức,261,178,4732835,1.3,0,12,0,0.04597701149
Morning Peak,Thanh Xuân,3205,2816,63392354,1.375872265,22,338,3,0.1132605304
Morning Peak,Sóc Sơn,32,10,532083,,0,2,0,0.0625
Morning Peak,Đan Phượng,39,27,507575,,0,3,0,0.07692307692
Morning Peak,Hoàn Kiếm,804,755,17071011,1.208333333,0,39,0,0.04850746269
Morning Peak,Đống Đa,3616,3385,75796889,1.325701944,9,375,4,0.107300885
Morning Peak,Quốc Oai,4,0,,,0,0,0,0
Night,Gia Lâm,32,10,,,0,1,0,0.03125
Night,Tây Hồ,204,130,2439342,1.413333333,0,22,1,0.112745098
Night,Từ Liêm,608,521,11243604,1.252,4,82,0,0.1414473684
Night,Thanh Xuân,276,249,4631956,1.2,3,51,0,0.1956521739
Night,Đông Anh,12,1,,,0,0,0,0
Night,Thanh Oai,5,2,,,0,0,0,0
Night,Chương Mỹ,1,0,,,0,0,0,0
Night,Thanh Trì,87,68,1109941,1.4,1,10,0,0.1264367816
Night,Mê Linh,2,0,,,0,0,0,0
Night,Hoài Đức,22,8,81508,,0,1,0,0.04545454545
Night,Hoàng Mai,269,237,4583800,1.252380952,1,35,0,0.1338289963
Night,Hoàn Kiếm,301,284,5329791,1.389795918,0,86,1,0.2890365449
Night,Đống Đa,286,261,5457916,1.246153846,1,39,2,0.1468531469
Night,Hà Đông,146,125,2589542,1.15,0,21,0,0.1438356164
Night,Cầu Giấy,409,389,7834617,1.258823529,3,56,0,0.1442542787
Night,Long Biên,72,31,621378,,0,9,0,0.125
Night,Hai Bà Trưng,275,255,7293014,1.296969697,3,38,0,0.1490909091
Night,Ba Đình,264,245,5523353,1.405882353,1,42,2,0.1704545455
Night,Phúc Thọ,2,0,,,0,0,0,0
Night,Sóc Sơn,24,1,,,0,0,0,0
Night,Thạch Thất,1,0,,,0,0,0,0
Night,Cầu Giấy,254,242,5171520,1.21,2,23,0,0.09842519685
Night,Hà Đông,88,70,1612816,1.4,0,10,0,0.1136363636
Night,Hoàn Kiếm,207,183,3471843,1.3125,0,32,0,0.154589372
Night,Hai Bà Trưng,160,155,7057669,1.344736842,0,7,0,0.04375
Night,Đống Đa,195,175,3427358,1.247058824,3,31,0,0.1743589744
Night,Long Biên,62,11,132469,1.2,0,3,0,0.04838709677
Night,Đông Anh,2,0,,,0,0,0,0
Night,Gia Lâm,14,5,,,0,0,0,0
Night,Chương Mỹ,1,0,,,0,0,0,0
Night,Thanh Trì,57,47,440630,,0,15,0,0.2631578947
Night,Thanh Xuân,158,147,2808961,1.3,0,24,1,0.1582278481
Night,Sóc Sơn,37,0,,,0,0,0,0
Night,Từ Liêm,357,286,5133725,1.2,2,39,0,0.1148459384
Night,Tây Hồ,85,47,669278,,0,4,0,0.04705882353
Night,Ba Đình,153,140,3314002,1.292592593,0,18,0,0.1176470588
Night,Phúc Thọ,3,0,,,0,0,0,0
Night,Hoài Đức,18,2,107915,,0,1,0,0.05555555556
Night,Hoàng Mai,138,109,1934397,1.3,1,18,0,0.1376811594
Night,Thanh Trì,22,13,273619,1.3,0,1,0,0.04545454545
Night,Đông Anh,1,0,,,0,0,0,0
Night,Long Biên,26,5,110110,,0,0,0,0
Night,Thanh Xuân,108,105,2797608,1.2,0,13,0,0.1203703704
Night,Sóc Sơn,10,0,,,0,0,0,0
Night,Hai Bà Trưng,92,90,2919391,1.3,0,9,0,0.09782608696
Night,Hà Đông,90,68,937750,1.15,0,13,0,0.1444444444
Night,Tây Hồ,62,27,556511,1.4,0,3,0,0.04838709677
Night,Ba Đình,96,87,1703874,1.24,0,9,0,0.09375
Night,Đống Đa,114,107,2348698,1.293333333,0,22,0,0.1929824561
Night,Từ Liêm,262,199,3591004,1.266666667,0,25,0,0.09541984733
Night,Mê Linh,1,0,,,0,0,0,0
Night,Cầu Giấy,163,150,4323842,1.166666667,0,17,0,0.1042944785
Night,Hoài Đức,9,3,51528,,0,0,0,0
Night,Thanh Oai,1,0,,,0,0,0,0
Night,Hoàng Mai,144,92,1480418,1.216666667,0,12,0,0.08333333333
Night,Hoàn Kiếm,146,131,2887486,1.448,0,25,0,0.1712328767
Night,Gia Lâm,4,1,,,0,0,0,0
Night,Long Biên,44,13,220322,1.2,0,3,0,0.06818181818
Night,Tây Hồ,28,12,376406,1.2,0,2,0,0.07142857143
Night,Hà Đông,33,27,538952,1.7,0,7,0,0.2121212121
Night,Từ Liêm,163,125,2640897,1.3,0,16,0,0.0981595092
Night,Ba Đình,72,67,971199,1.3,1,7,0,0.1111111111
Night,Thanh Trì,35,19,495025,1.2,0,6,0,0.1714285714
Night,Hoài Đức,11,1,,,0,0,0,0
Night,Hoàng Mai,109,83,1486716,1.22,0,15,0,0.1376146789
Night,Gia Lâm,12,2,38708,,0,0,0,0
Night,Hai Bà Trưng,47,44,1213011,1.233333333,0,0,0,0
Night,Đống Đa,103,98,1810191,1.25,0,15,0,0.145631068
Night,Thanh Xuân,73,62,911586,1.2,0,13,0,0.1780821918
Night,Chương Mỹ,2,0,,,0,0,0,0
Night,Hoàn Kiếm,105,93,1677056,1.185714286,1,10,0,0.1047619048
Night,Thanh Oai,1,0,,,0,0,0,0
Night,Cầu Giấy,139,124,2793406,1.433333333,0,12,0,0.08633093525
Night,Quốc Oai,1,0,,,0,0,0,0
Night,Gia Lâm,11,1,,,0,0,0,0
Night,Sóc Sơn,1,0,,,0,0,0,0
Night,Quốc Oai,1,0,,,0,0,0,0
Night,Đan Phượng,11,0,,,0,0,0,0
Night,Hoài Đức,14,1,50591,,0,0,0,0
Night,Hà Đông,85,54,1262899,1.4,0,8,0,0.09411764706
Night,Hoàn Kiếm,63,59,1166991,1.214285714,0,9,0,0.1428571429
Night,Chương Mỹ,4,0,,,0,0,0,0
Night,Long Biên,39,13,257316,,1,1,0,0.05128205128
Night,Thanh Trì,40,28,812907,,0,5,0,0.125
Night,Mê Linh,1,1,,,0,0,0,0
Night,Hoàng Mai,274,231,6880811,1.380555556,0,26,0,0.09489051095
Night,Ba Đình,42,36,831142,,0,3,0,0.07142857143
Night,Thanh Xuân,72,67,1202513,1.25,0,11,0,0.1527777778
Night,Hai Bà Trưng,80,67,1374943,1.3,0,10,0,0.125
Night,Đống Đa,92,87,1648525,1.35,0,7,1,0.08695652174
Night,Đông Anh,6,1,,,0,1,0,0.1666666667
Night,Thanh Oai,5,0,,,0,0,0,0
Night,Từ Liêm,404,329,8213470,1.348571429,0,30,0,0.07425742574
Night,Tây Hồ,28,21,569381,1.4,0,0,0,0
Night,Cầu Giấy,179,169,5110943,1.3,0,17,0,0.09497206704
Night,Ba Đình,135,127,3532815,1.272727273,0,9,0,0.06666666667
Night,Hoàn Kiếm,128,120,3103613,1.464705882,0,16,0,0.125
Night,Thanh Xuân,264,243,7326716,1.227083333,0,33,0,0.125
Night,Hoàng Mai,644,533,16977910,1.44950495,1,60,0,0.09472049689
Night,Thanh Trì,123,104,3157407,1.225,0,16,0,0.1300813008
Night,Đan Phượng,7,3,232675,,0,0,0,0
Night,Đống Đa,263,243,7170908,1.305454545,0,17,0,0.06463878327
Night,Tây Hồ,89,56,1837915,1.233333333,0,4,0,0.04494382022
Night,Sóc Sơn,8,1,110507,,0,0,0,0
Night,Mê Linh,2,0,,,0,0,0,0
Night,Đông Anh,9,1,41222,,0,0,0,0
Night,Chương Mỹ,2,0,,,0,0,0,0
Night,Thạch Thất,5,0,,,0,0,0,0
Night,Long Biên,100,51,1515823,1.1,0,1,0,0.01
Night,Hai Bà Trưng,206,195,5571486,1.313888889,0,12,0,0.05825242718
Night,Quốc Oai,2,1,,,0,0,0,0
Night,Cầu Giấy,441,407,11663767,1.338461538,1,34,0,0.07936507937
Night,Gia Lâm,37,11,565885,1.1,1,1,0,0.05405405405
Night,Hoài Đức,73,15,414403,,0,1,0,0.01369863014
Night,Thanh Oai,12,5,48373,,0,0,0,0
Night,Từ Liêm,892,768,24395420,1.440495868,2,62,2,0.07399103139
Night,Hà Đông,190,163,4628496,1.133333333,1,24,0,0.1315789474
Night,Phúc Thọ,1,0,,,0,0,0,0
Night,Thường Tín,4,0,,,0,0,0,0
Night,Chương Mỹ,6,0,,,0,0,0,0
Night,Ba Đình,461,439,9561996,1.320833333,0,61,1,0.1344902386
Night,Thanh Oai,10,2,151952,,0,0,0,0
Night,Thanh Xuân,679,647,15213765,1.332352941,6,102,1,0.1605301915
Night,Hoàng Mai,538,489,10500824,1.2,3,81,0,0.156133829
Night,Hà Đông,381,304,6013909,1.206666667,2,58,2,0.1627296588
Night,Đống Đa,912,862,19659554,1.264227642,2,119,2,0.1348684211
Night,Cầu Giấy,1062,1004,21975462,1.285294118,8,158,1,0.1572504708
Night,Mê Linh,2,0,,,0,0,0,0
Night,Hoàn Kiếm,414,398,9258547,1.3953125,1,73,0,0.1787439614
Night,Gia Lâm,57,25,488912,1.25,0,5,0,0.08771929825
Night,Từ Liêm,1338,1179,24076906,1.3,8,180,2,0.1420029895
